algorithm,seed,episode,window_index,window_start_step,window_end_step,context_bias,context_fish_norm,context_ships_norm,context_time_norm,arm_id,arm_name,window_cumulative_reward,window_cumulative_profit,window_mean_fish_stock,window_min_fish_stock,window_collapse_flag,window_time_to_collapse,end_ships,end_fish_population
linucb,0,0,0,0,9,1.0,0.8333333333333334,0.1,0.0,11,strong_marine_reserve,9.792141478367618,2535.374790314274,870.8120025664012,750.1462119556977,0,,1.6231724943666623,750.1462119556977
contextual_thompson,0,0,0,0,9,1.0,0.8333333333333334,0.1,0.0,11,strong_marine_reserve,9.792141478367618,2535.374790314274,870.8120025664012,750.1462119556977,0,,1.6231724943666623,750.1462119556977
discretized_contextual,0,0,0,0,9,1.0,0.8333333333333334,0.1,0.0,11,strong_marine_reserve,9.792141478367618,2535.374790314274,870.8120025664012,750.1462119556977,0,,1.6231724943666623,750.1462119556977
linucb,0,0,1,10,19,1.0,0.6251218432964147,0.16231724943666623,0.08333333333333333,5,hard_capacity_control,8.477824768140737,4112.878671603311,523.793531584491,316.05665030206364,0,,2.579618925738808,316.05665030206364
contextual_thompson,0,0,1,10,19,1.0,0.6251218432964147,0.16231724943666623,0.08333333333333333,5,hard_capacity_control,8.477824768140737,4112.878671603311,523.793531584491,316.05665030206364,0,,2.579618925738808,316.05665030206364
discretized_contextual,0,0,1,10,19,1.0,0.6251218432964147,0.16231724943666623,0.08333333333333333,5,hard_capacity_control,8.477824768140737,4112.878671603311,523.793531584491,316.05665030206364,0,,2.579618925738808,316.05665030206364
linucb,0,0,2,20,29,1.0,0.2633805419183864,0.2579618925738808,0.16666666666666666,7,weak_capacity_control,-9.110390279053906,-590.1033349913797,177.5655667124967,118.89015826889568,1,9,1.1821808523338009,118.89015826889568
contextual_thompson,0,0,2,20,29,1.0,0.2633805419183864,0.2579618925738808,0.16666666666666666,7,weak_capacity_control,-9.110390279053906,-590.1033349913797,177.5655667124967,118.89015826889568,1,9,1.1821808523338009,118.89015826889568
discretized_contextual,0,0,2,20,29,1.0,0.2633805419183864,0.2579618925738808,0.16666666666666666,7,weak_capacity_control,-9.110390279053906,-590.1033349913797,177.5655667124967,118.89015826889568,1,9,1.1821808523338009,118.89015826889568
linucb,0,0,3,30,39,1.0,0.09907513189074639,0.1182180852333801,0.25,1,baseline_laissez_faire,-100.41797436397944,-1217.0430546238945,95.88824287733519,84.40490608300503,1,0,0.495220155225351,84.40490608300503
contextual_thompson,0,0,3,30,39,1.0,0.09907513189074639,0.1182180852333801,0.25,1,baseline_laissez_faire,-100.41797436397944,-1217.0430546238945,95.88824287733519,84.40490608300503,1,0,0.495220155225351,84.40490608300503
discretized_contextual,0,0,3,30,39,1.0,0.09907513189074639,0.1182180852333801,0.25,1,baseline_laissez_faire,-100.41797436397944,-1217.0430546238945,95.88824287733519,84.40490608300503,1,0,0.495220155225351,84.40490608300503
linucb,0,0,4,40,49,1.0,0.07033742173583753,0.0495220155225351,0.3333333333333333,4,high_taxation,-99.92601118600132,-585.3879778316903,79.12521501964461,76.71386602353644,1,0,0.20744964838271113,76.71386602353644
contextual_thompson,0,0,4,40,49,1.0,0.07033742173583753,0.0495220155225351,0.3333333333333333,4,high_taxation,-99.92601118600132,-585.3879778316903,79.12521501964461,76.71386602353644,1,0,0.20744964838271113,76.71386602353644
discretized_contextual,0,0,4,40,49,1.0,0.07033742173583753,0.0495220155225351,0.3333333333333333,4,high_taxation,-99.92601118600132,-585.3879778316903,79.12521501964461,76.71386602353644,1,0,0.20744964838271113,76.71386602353644
linucb,0,0,5,50,59,1.0,0.06392822168628037,0.020744964838271113,0.4166666666666667,10,moderate_marine_reserve,-99.63287857609372,-277.97969273597977,77.41213399707186,76.71299716802845,1,0,0.08690146424780947,78.52975220988013
contextual_thompson,0,0,5,50,59,1.0,0.06392822168628037,0.020744964838271113,0.4166666666666667,10,moderate_marine_reserve,-99.63287857609372,-277.97969273597977,77.41213399707186,76.71299716802845,1,0,0.08690146424780947,78.52975220988013
discretized_contextual,0,0,5,50,59,1.0,0.06392822168628037,0.020744964838271113,0.4166666666666667,10,moderate_marine_reserve,-99.63287857609372,-277.97969273597977,77.41213399707186,76.71299716802845,1,0,0.08690146424780947,78.52975220988013
linucb,0,0,6,60,69,1.0,0.0654414601749001,0.008690146424780946,0.5,3,moderate_taxation,-99.43286358698333,-103.14178798058359,80.4333841196731,78.79849720358848,1,0,0.03640336123627133,82.32958438475279
contextual_thompson,0,0,6,60,69,1.0,0.0654414601749001,0.008690146424780946,0.5,3,moderate_taxation,-99.43286358698333,-103.14178798058359,80.4333841196731,78.79849720358848,1,0,0.03640336123627133,82.32958438475279
discretized_contextual,0,0,6,60,69,1.0,0.0654414601749001,0.008690146424780946,0.5,3,moderate_taxation,-99.43286358698333,-103.14178798058359,80.4333841196731,78.79849720358848,1,0,0.03640336123627133,82.32958438475279
linucb,0,0,7,70,79,1.0,0.06860798698729399,0.003640336123627133,0.5833333333333334,11,strong_marine_reserve,-99.33790050696508,-50.590049516746475,85.52274510619804,82.87901870140308,1,0,0.015249509553941346,88.28030266419307
contextual_thompson,0,0,7,70,79,1.0,0.06860798698729399,0.003640336123627133,0.5833333333333334,11,strong_marine_reserve,-99.33790050696508,-50.590049516746475,85.52274510619804,82.87901870140308,1,0,0.015249509553941346,88.28030266419307
discretized_contextual,0,0,7,70,79,1.0,0.06860798698729399,0.003640336123627133,0.5833333333333334,11,strong_marine_reserve,-99.33790050696508,-50.590049516746475,85.52274510619804,82.87901870140308,1,0,0.015249509553941346,88.28030266419307
linucb,0,0,8,80,89,1.0,0.07356691888682756,0.0015249509553941346,0.6666666666666666,5,hard_capacity_control,-99.25165350099708,-16.938340869839507,91.8341807847332,88.89833020409596,1,0,0.006388078840479273,94.87498115454673
contextual_thompson,0,0,8,80,89,1.0,0.07356691888682756,0.0015249509553941346,0.6666666666666666,5,hard_capacity_control,-99.25165350099708,-16.938340869839507,91.8341807847332,88.89833020409596,1,0,0.006388078840479273,94.87498115454673
discretized_contextual,0,0,8,80,89,1.0,0.07356691888682756,0.0015249509553941346,0.6666666666666666,11,strong_marine_reserve,-99.25449333070625,-20.791183072622996,91.955742283964,88.925254830474,1,0,0.006388078840479273,95.07546319075581
linucb,0,0,9,90,99,1.0,0.0790624842954556,0.0006388078840479273,0.75,7,weak_capacity_control,-99.18276509195469,-6.7871588366287305,98.88264802583322,95.58095203871821,1,0,0.0026759910623900696,102.2725195939485
